GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bcs-web,com.perfect.bcs.web.util,RequestUtil,24,0,0,0,8,0,4,0,4,0
bcs-web,com.perfect.bcs.web.config,MultipartAutoConfiguration,0,21,0,0,0,6,0,3,0,3
bcs-web,com.perfect.bcs.web.config,WebConfig,0,26,0,0,0,8,0,3,0,3
bcs-web,com.perfect.bcs.web.config,SwaggerConfig,0,73,0,4,0,22,0,6,0,4
bcs-web,com.perfect.bcs.biz.config,ServiceConfig,0,3,0,0,0,1,0,1,0,1
bcs-web,com.perfect.bcs.web.interceptor,CrossDomainInterceptor,0,29,0,0,0,9,0,5,0,5
bcs-web,com.perfect.bcs.web.interceptor,OptionsRequestInterceptor,6,18,1,1,2,6,1,4,0,4
bcs-web,com.perfect.bcs.web.controller,DataGeneratorRestController,5,7,0,0,2,2,1,2,1,2
bcs-web,com.perfect.bcs.web.controller,BalanceRestController,0,39,0,0,0,9,0,6,0,6
bcs-web,com.perfect.bcs.web.controller.common,ResultVO,487,46,94,0,25,14,64,12,17,12
bcs-web,com.perfect.bcs.web.controller.common,CommonController,23,7,8,0,6,2,6,2,2,2
bcs-web,com.perfect.bcs.web.filter,AA_RequestFilter,18,0,0,0,7,0,4,0,4,0
bcs-web,com.perfect.bcs.web.filter,BB_EncodingFilter,20,0,0,0,6,0,4,0,4,0
bcs-web,com.perfect.bcs.dal.domain,AccountBalanceChangeDO,266,48,56,0,3,6,34,12,6,12
bcs-web,com.perfect.bcs.dal.domain,AccountInfoDO,371,75,80,0,2,10,45,19,5,19
bcs-web,com.perfect.bcs.dal.domain,AccountTransactionDO,410,80,88,0,3,10,50,20,6,20
bcs-web,com.perfect.bcs.biz.util,MockDataUtil,5461,0,6,0,24,0,8,0,5,0
bcs-web,com.perfect.bcs.web.handler,GlobalExceptionHandler,216,10,4,0,39,3,6,2,4,2
bcs-web,com.perfect.bcs.web.handler,GlobalRestControllerHandler,7,24,3,3,1,6,3,3,0,3
bcs-web,com.perfect.bcs.web.controller.admin,StatusRestController,2,7,0,0,1,2,1,2,1,2
bcs-web,com.perfect.bcs.dal,DalConfig,0,14,0,0,0,4,0,2,0,2
bcs-web,com.perfect.bcs.biz.common,BizException,138,31,18,0,6,7,20,2,11,2
bcs-web,com.perfect.bcs.biz,AccountBalanceChangeService,0,21,0,0,0,7,0,3,0,3
bcs-web,com.perfect.bcs.biz,CacheService,14,119,1,15,6,25,1,12,0,5
bcs-web,com.perfect.bcs.biz,AccountTransactionService,0,63,0,0,0,19,0,5,0,5
bcs-web,com.perfect.bcs.biz,BalanceManageService,151,396,17,31,16,105,17,20,0,13
bcs-web,com.perfect.bcs.biz,DataGeneratorService,112,7,10,0,33,2,6,2,1,2
bcs-web,com.perfect.bcs.biz,AccountInfoService,0,36,0,0,0,8,0,4,0,4
bcs-web,com.perfect.bcs.biz,BalanceAtomicService,20,145,5,11,4,34,5,7,0,4
bcs-web,com.perfect.bcs.web,ApplicationInfoRunner,12,88,2,2,4,20,3,3,1,3
bcs-web,com.perfect.bcs.web,ApplicationJar,17,7,0,0,5,2,1,2,1,2
bcs-web,com.perfect.bcs.web,MyEnvironmentPostProcessor,102,170,8,10,17,42,6,9,0,6
